Kalınlık;Renk Değer;Kağıt Renk;Pres Plaka Yüzey;Melamin Pres Hatları;Max üst yoğ.kg/m3;Min. Orta. Kg/m3;Max alt yoğ.kg/m3;Üre Jel Süresi (Emprenye);Melamin Jel Süresi (Ceketleme);Sağ (%Reçine);Sağ (%Nem);Orta (%Reçine);Orta (%Nem);Sol (%Reçine);Sol (%Nem);Plaka Sıcaklıkları Min;Plaka Sıcaklıkları Max;Özgül Basınç Min;Özgül Basınç Max;Anlık Duruş;Ölü Zaman Minimum;Ölü Zaman Maximum;Presleme Süresi Min;Presleme Süresi Max
18;191;KAPLAN;GÖLGE;M12;953;533;883,4;3,58;6,34;63,83;6,605;62,67;7,1;64,6;6;147,7;171,9;28,66;40,76;47,77;14,89;22,46;20,91;37,16
18;191;KAPLAN;GÖLGE;M13;969;495,7;992;2,95;5,82;64,47;7,735;64,55;6,05;65,3;6,7;161,5;176;22,03;53,33;52,84;14,61;22,68;25,75;38,24
18;191;KAPLAN;GÖLGE;M7;1003,5;493,6;880,3;5,32;3,75;65,08;6,607;64;7,78;64,9;6,1;150,7;150,9;28,54;41,67;47,87;12,61;21,75;29,06;35,59
18;191;KAPLAN;GÖLGE;M8;976,6;565,4;973,1;4,48;3,82;65,05;6,417;64,24;5,83;65,4;6,8;180,9;167,8;27,07;63,76;49,12;12,94;22,55;23,43;34,81
18;191;KAPLAN;GÖLGE;M10;905,8;491,7;893,8;2,6;3,44;64,03;6,44;64,25;5,21;63,8;6,1;185,2;215,9;28,3;55,03;45,46;14,34;21,54;23,48;34,21
18;191;KAPLAN;GÖLGE;M5;981,1;542,5;917,2;5,19;3,01;65,79;6,744;65,18;7,2;64;6,4;163,1;176,9;25,04;31,44;49,28;14,45;22,06;29,08;37,41
18;191;KAPLAN;GÖLGE;M11;915,9;577,7;1018;4,01;3,01;62,13;7,433;63,89;6,27;66;6,8;149,3;169,7;26,88;51,73;57,92;12,04;21,42;20,31;39,86
18;191;KAPLAN;GÖLGE;M16;1005,8;545,5;926,4;3,3;4,22;64,29;7,001;64,46;7,39;63,9;6,9;140,4;156;23,23;37,7;59,79;13,04;21,75;22,83;34,27
18;191;KAPLAN;GÖLGE;M17;913,8;517,7;935,7;4,88;4,72;62,87;6,9;65,77;6,43;63;6,3;176,5;193,8;23,04;37,45;46,83;13,93;22,02;20,37;35,35
18;191;KAPLAN;GÖLGE;M15;887,9;533,7;900,5;4,62;3,94;65,39;7,623;65,47;5,2;63,5;6,3;188,4;178;28;33,46;55,29;12,6;22,42;20,51;32,65
18;191;KAPLAN;GÖLGE;M6;874,9;556,5;882,7;3,7;3,71;64,6;7,205;63,24;5,71;64,5;6,4;158;176,8;24,41;43,73;54,17;12,6;21,09;28,36;35,1
18;191;KAPLAN;GÖLGE;M9;904,1;488,4;904,2;3,48;7,14;62,83;6,474;65,9;6,15;65,7;6,9;173,2;197,8;24,73;31,67;48,79;13,22;22,11;25,73;36,73
18;191;KAPLAN;GÖLGE;M3;891,2;524,5;1014,3;4,67;5,21;62,45;6,666;63,83;7,67;65,4;6,9;187,5;201;23,87;34,17;55,4;12,04;21,76;24,91;36,74
18;191;KAPLAN;GÖLGE;M4;936,9;546,6;898,5;2,88;2,53;66,17;7,589;64,3;7,42;63,1;6,3;153,9;172,9;28,36;34,95;58,41;14,43;22,11;26,61;31,11
18;191;KAPLAN;GÖLGE;M14;947,4;500,1;885;2,77;6,28;65,64;6,487;65,51;6,8;64,7;6,2;151,3;213,9;28,39;44,95;45,28;14,46;21,24;23,65;34,86
18;191;KAPLAN;GÖLGE;M1;999,3;509,9;878,5;2,7;5,55;64,16;7,62;65,59;7,82;63,4;6,5;169,3;204,2;25,49;40,41;45,17;12,02;22,14;24,49;33,83
18;191;KAPLAN;GÖLGE;M2;986,1;559,5;943,5;4,89;2,93;63,93;7,903;64,2;7,27;64;6,1;168,4;155,6;21,92;53,08;49,14;14,12;22,09;22,92;34,53
18;191;KAPLAN;GÖLGE;M12;998,1;561,5;1016,8;4,44;6,87;64,34;6,469;63,33;5,84;65,2;6,3;141;179,7;25,43;56,97;51,37;14,77;22,08;20,1;32,8
18;191;KAPLAN;GÖLGE;M13;955,1;544,3;907,3;4,19;7,07;62,77;7,739;62,04;7,92;63,4;6,7;183,2;203,1;25,27;59,94;47,57;12,58;21,75;20,42;36,52
18;191;KAPLAN;GÖLGE;M7;1004,7;510;871;2,68;7,79;62,83;6,962;62,68;5,82;63,5;6,7;159;190,6;21,93;38,22;57,62;12,34;21,22;29,07;34,21
18;191;KAPLAN;GÖLGE;M8;890,8;496;917,6;3,86;8,02;63,41;7,043;62,83;6,84;63,6;6,4;147,3;177,2;28,73;36,12;55,3;12,61;21,16;28,79;31,63
18;191;KAPLAN;GÖLGE;M10;952,5;586,2;884,6;4,42;3,23;64,67;6,47;63,64;6,96;63,4;6,5;158,4;160,4;22;64,05;58,65;13,46;21,16;29,79;33,05
18;191;KAPLAN;GÖLGE;M5;926,4;499,5;962,6;4,52;7,16;62,7;7,679;64,2;6,3;63,7;6,9;150,2;183,4;20,35;36,9;58,14;12,6;21,1;23,08;38,65
18;191;KAPLAN;GÖLGE;M11;909,9;569,1;876,6;4,67;7,21;63,65;7,574;64,82;5,42;63,5;6,7;159,2;181,5;23,42;38,31;51,97;12,51;21,95;29,91;38,84
18;191;KAPLAN;GÖLGE;M16;898,1;557,5;926,3;3,82;3,19;66,22;7,534;63,74;7,68;63,3;6,7;176,4;192,5;24,07;48,33;55,25;12,53;21,78;27,95;35,05
18;191;KAPLAN;GÖLGE;M17;982,6;506,7;962,3;4,93;6,57;66,54;7,22;62,45;5,74;63,4;6,4;168,3;193,8;22,24;33,68;53,64;12,44;22,63;23,14;32,57
18;191;KAPLAN;GÖLGE;M15;993,6;519;1011,1;4,8;6,41;65,46;7,439;62,21;5,6;64,9;7;161,2;155,9;24,49;48,86;52,21;12,75;21,37;28,01;37,99
18;191;KAPLAN;GÖLGE;M6;905,7;571,9;1010,3;2,8;3,79;64,53;7,173;63,97;6,58;65,7;6,1;170,4;218,8;22,79;48,14;51,13;12,32;21,79;25,92;32,78
18;191;KAPLAN;GÖLGE;M9;944,4;571,1;884,7;4,26;7,88;66,3;7,592;62,23;7,89;63,8;6,3;154,2;167,1;21,44;60,37;57,92;12,18;22,82;23,25;31,31
18;191;KAPLAN;GÖLGE;M3;952,9;500;884,7;4,49;2,72;64,74;7,514;62,96;6,31;64,6;7;182;192,8;29,72;30,18;50,36;14,36;22,41;27,33;36,8
18;191;KAPLAN;GÖLGE;M4;934,4;553,3;1004,5;2,4;3,12;63,43;6,616;65,09;7,93;63,9;6,5;169,9;190,7;26,93;53,03;46,62;13,87;23;27,88;37,54
18;191;KAPLAN;GÖLGE;M14;920,9;497,1;996,9;4,35;6,85;66,32;7;62,94;5,19;64;6,6;171,9;192,6;27,61;46,94;53,35;12,79;21,9;23,85;35,43
18;191;KAPLAN;GÖLGE;M1;928,7;548,6;977,9;5,25;6,6;66,56;7,432;63,65;6,89;63;7;159,6;180,9;21,91;44,01;45,54;14,12;22,72;29,71;37,04
18;191;KAPLAN;GÖLGE;M2;979,3;562,7;960;4,87;2,7;63,92;6,609;62,29;6,47;65,1;6;163,8;188,6;20,9;44,24;54,14;13,47;22,63;25,84;33,02
18;191;KAPLAN;GÖLGE;M12;917,2;572,1;943,9;4,72;3,88;62,56;7,426;62,19;7,55;63,6;6,3;180,8;150,2;29,3;57,45;50,54;12,4;21,98;26,63;38,64
18;191;KAPLAN;GÖLGE;M13;915,3;495,5;1021,3;3,71;4,92;66,54;6,416;64,78;5,7;63,6;6,6;175,6;170,3;21,93;59,87;51,11;14,03;21,99;23,68;32,19
18;191;KAPLAN;GÖLGE;M7;985,3;496,9;906,4;4,71;5,96;63,39;7,428;63,2;6,56;63,1;6,2;144,5;205,8;20,39;44,52;56,19;12,21;21,89;23,76;36,49
18;191;KAPLAN;GÖLGE;M8;970,8;497,5;1015,8;3,17;5,18;63,8;7,454;64,57;7,41;64,1;6,3;163,9;195,4;28,3;39,43;57,37;13,96;21,67;20,64;31,82
18;191;KAPLAN;GÖLGE;M10;1000,5;515,9;964,9;4,99;4,53;66,74;7,849;62,76;5,65;65;6,2;167,7;150;21,17;30,53;46,67;14,8;22,12;22,53;37,37
18;191;KAPLAN;GÖLGE;M5;964,6;515;960,1;5,35;5,63;66,37;6,543;64,2;7,84;63,9;6,9;174,5;153,9;29,7;30,91;52,53;12,46;21,4;24,8;32,59
18;191;KAPLAN;GÖLGE;M11;967,4;509,8;897,2;4,6;8,02;63,69;6,667;63,51;6,28;65;7;172;167,8;24,48;58,12;45,76;12,38;21,38;23,37;34,89
18;191;KAPLAN;GÖLGE;M16;965,4;586,1;954,1;2,46;7,9;65,68;6,998;65,44;7,76;63,2;6,3;141,4;156,8;23,18;48,44;51,72;13,12;21,4;27,22;33,95
18;191;KAPLAN;GÖLGE;M17;949,5;526,8;938,5;3,34;8,1;62,5;7,786;65,96;5,78;63,2;6,4;174,5;180,6;26,03;46,05;52,4;12,55;22,73;26,26;37,68
18;191;KAPLAN;GÖLGE;M15;989,7;495,3;952,6;4,02;3,46;63,71;7,258;65,79;7,81;63,2;6,3;159,4;205,4;29,75;53,09;50,6;12,33;22,04;28,46;38,35
18;191;KAPLAN;GÖLGE;M6;1004,5;554,7;998,1;4,29;2,85;65,85;6,48;64,99;7,68;65,7;6,6;180;217,6;27,12;30,94;46,47;12,8;21,15;28,86;33,06
18;191;KAPLAN;GÖLGE;M9;957,1;513,7;972,3;4,01;4,35;62,91;6,541;63,06;6,49;64,8;7;175;217,3;20,3;60,62;55,25;13,14;21,11;22,01;31,33
18;191;KAPLAN;GÖLGE;M3;1008,7;531;919;3,43;3,23;64,77;7,602;65,1;7,66;63,6;6,8;168,6;157,4;23,42;47,12;49,18;13,71;22,57;21,5;32,46
18;191;KAPLAN;GÖLGE;M4;972,9;499,5;948,7;2,82;7,34;66,73;6,917;62,75;6,78;64,5;6,3;171,1;201,6;22,74;43,48;50,11;12,39;22,11;21,74;34,5
18;191;KAPLAN;GÖLGE;M14;992,2;493,7;902,8;3,19;4,14;63,92;7,267;62,73;6,93;64,4;6;147,3;181,8;24,95;38,58;57,43;15;21,11;26,35;34,67
18;191;KAPLAN;GÖLGE;M1;983;512,4;917,6;2,46;6,88;66;7,645;63,03;7,13;64,8;6,6;160,1;164,4;22,16;31,01;45,24;13,64;21,26;23,74;37,71
18;191;KAPLAN;GÖLGE;M2;908,3;506,9;994,5;5,28;5,71;66,33;6,657;63,51;7,25;64,9;6,5;149,3;167,3;28,78;48,75;49,73;13,01;21,28;28,19;39,19
18;191;KAPLAN;GÖLGE;M12;1016,3;507,3;919,3;2,93;7,96;64,03;7,366;64,16;5,73;63,2;6,4;163,8;178,6;28,04;48,73;48,45;13,31;22,12;29,99;39,61
18;191;KAPLAN;GÖLGE;M13;912,2;559,7;881,8;2,95;5,61;62,73;7,475;65,28;7,75;63,8;6,3;188,8;194,5;24,11;35,29;52,24;12,63;21,15;25,05;36,04
18;191;KAPLAN;GÖLGE;M7;949,3;490,1;1003,8;3,76;3,64;65,23;7,084;64,87;5,76;63,7;6,7;140,9;177,2;23;45,92;55;12,67;22,51;21,75;37,81
18;191;KAPLAN;GÖLGE;M8;980;538,5;883,5;4,95;7,51;65,41;6,653;65,49;7,59;65;6,5;180,5;181,4;21,5;50,99;52,15;12,23;22,69;20,25;32,77
18;191;KAPLAN;GÖLGE;M10;955,8;550,6;978,3;4,11;7,12;62,24;6,431;62,1;5,01;64,4;6,9;170,7;160,3;21,4;60,01;51,02;14,14;22,46;21,56;37,35
18;191;KAPLAN;GÖLGE;M5;961,1;565,1;928,8;5,12;6,32;62,23;7,002;63,82;7,53;66;6;169,5;191,8;26,67;35,49;52,26;14,14;22,99;28,96;34,83
18;191;KAPLAN;GÖLGE;M11;1005,3;557,1;945,4;4,97;3,49;64,18;7,48;65,37;6,62;65,1;6,9;159,5;158,1;23,24;31,62;50,23;14,55;21,21;28,42;37,26
18;191;KAPLAN;GÖLGE;M16;964,7;549,1;1013,1;5,18;6,55;64,67;7,445;63,22;7,28;64,9;6,2;156,5;207,2;27,87;44,95;47,41;14,97;21,88;25,62;38,59
18;191;KAPLAN;GÖLGE;M17;882,2;549,3;984,3;2,62;7,96;64,59;7,415;65,16;5,53;64,3;6,7;160,6;162,7;24,37;59,27;59,75;14,79;21,99;20,21;31,88
18;191;KAPLAN;GÖLGE;M15;922,5;522,2;942,7;3,43;4,49;62,69;7,325;62,66;7,77;65,7;6,2;144,2;192,3;23,45;41,96;48,85;14,08;22,43;22,19;36,5
18;191;KAPLAN;GÖLGE;M6;980,7;565,9;947;3,7;3,24;63,43;6,684;64,81;7,41;63,4;6,5;152,6;177,5;25,57;58,07;53,16;13,66;22,2;27,07;34,05
18;191;KAPLAN;GÖLGE;M9;969,6;552,9;971,3;3,39;3,92;64,85;6,729;62,35;5,87;65,8;6,1;153,9;161,8;21,94;34,61;52,55;12,23;22,4;21,85;34,93
18;191;KAPLAN;GÖLGE;M3;968,1;551,3;945;4,26;5,76;66,26;7,732;65,21;7,33;64,5;6;180,2;154;29,42;50,64;45,22;12,12;21,49;20,12;39,24
18;191;KAPLAN;GÖLGE;M4;928,7;573,9;875,6;4,71;4,73;63,4;6,519;64,73;7,67;64,8;6,5;158,6;209;24,1;44,14;50,33;12,4;22,29;23,45;39,77
18;191;KAPLAN;GÖLGE;M14;880,9;522,9;999,7;5,19;8,19;62,85;7,166;62,31;7,86;64,8;6;148,4;195,8;28,34;35,85;47,12;13,58;22,08;29,44;33,92
18;191;KAPLAN;GÖLGE;M1;960,9;577,1;920,9;4,73;4,3;62,51;7,283;64,67;6,48;63,6;6,2;174,4;191,1;29,2;64,62;53,01;12,22;22,31;25,21;34,07
18;191;KAPLAN;GÖLGE;M2;980,1;522,2;1022,8;3,85;2,65;64;7,881;65,98;6,87;63,7;6,8;169,9;197,9;21,85;44,92;57,68;13,87;21,73;24,16;36,15
18;191;KAPLAN;GÖLGE;M12;1001;536,8;906,9;4,95;7,63;66,44;6,527;62,46;6,14;65,3;6,4;147,5;213,7;23,62;51,1;56,72;14,13;22,44;21,48;39,68
18;191;KAPLAN;GÖLGE;M13;895,3;565;892,1;4,83;4,04;62,55;6,518;62,54;6,2;63,5;6,3;184,1;216,6;26,27;51,33;59,06;12,16;22,25;21,39;37,1
18;191;KAPLAN;GÖLGE;M7;953;535,7;892,8;4,98;4,66;63,17;7,908;64,85;6,18;65,3;6,9;153,1;213,1;20,51;56,49;46,16;13,37;21,18;27,54;36,75
18;191;KAPLAN;GÖLGE;M8;906,8;504,4;979,1;3,86;4,48;65,22;7,118;64,21;5,39;64,3;6,5;186,5;209,4;23,32;31,9;57,9;13,99;22,89;27;38,11
18;191;KAPLAN;GÖLGE;M10;1000,9;533,1;1026,3;5,02;5,2;62,33;7,69;65,6;7,75;63,9;6,4;176,5;164,3;20,68;60,59;45,53;13,22;21,88;23,49;38,07
18;191;KAPLAN;GÖLGE;M5;894,5;530,4;920,2;3,04;5,17;65,62;7,689;62,69;5,75;65,1;6,4;166,3;158,4;29,25;38,96;46,34;13,5;22,45;27,1;39,88
18;191;KAPLAN;GÖLGE;M11;973,9;493,1;1009;2,78;7,6;66,11;6,765;62,31;7,13;65,8;6,4;154,4;201,1;22,13;55,45;53,6;14,78;21,13;26,26;32,31
18;191;KAPLAN;GÖLGE;M16;880;559,8;876,2;5,36;8,07;65,85;6,42;65,89;5,99;64,6;6,4;183,6;183,4;24,62;64,05;55,3;13,44;21,75;26,39;37,08
18;191;KAPLAN;GÖLGE;M17;982,7;490,8;967,6;3,78;7,78;64,31;6,411;62,64;6,47;64,1;6,9;188,5;174,3;27,79;61,63;55,46;12,09;21,39;21,84;32,71
18;191;KAPLAN;GÖLGE;M15;940,7;503,6;876,6;2,8;5,83;64,6;7,367;62,53;7,59;64,5;6,4;147,7;170,1;21,8;41,53;57,59;13,61;23;21,4;32,53
18;191;KAPLAN;GÖLGE;M6;906;581;909,4;2,56;3,72;66,73;6,641;62,84;7,19;63,4;6,2;172,8;166,8;21,71;52,08;46,82;12,59;22,13;25,73;34,04
18;191;KAPLAN;GÖLGE;M9;955,1;533;1013;3,56;3,87;64,22;6,639;64,86;7,61;65,4;6,6;141,2;180,4;28,48;40,05;56,42;13,41;22,21;26;39,15
18;191;KAPLAN;GÖLGE;M3;937,7;572,9;996,1;4,15;4,57;66,45;7,855;64,41;7,88;65,1;6;169,7;176,6;25,84;62,54;56,45;12,23;22,94;29,89;38,4
18;191;KAPLAN;GÖLGE;M4;895,1;555,3;951,4;5,08;5,15;63,06;6,761;62,17;6,09;65;6;170,4;159,6;20,97;35,88;47,66;12,26;22,92;25,5;32,04
18;191;KAPLAN;GÖLGE;M14;900,2;520,3;921,8;3,83;5,26;63,17;6,871;63,69;7,06;63,2;6,5;183;203;20,87;51,08;53,39;13,74;22,85;22,55;31,5
18;191;KAPLAN;GÖLGE;M1;889,2;505,3;938,4;5,22;6,02;62,24;6,992;65,81;6,03;63,5;6,3;152,1;212,7;21,61;62,94;45,06;13,09;21,74;29,95;38,77
18;191;KAPLAN;GÖLGE;M2;911,6;573,2;983,2;4,63;6,67;65,23;7,726;65,22;5,65;64;6,2;159,5;161;24,17;36,54;57,61;12,46;21,39;28,91;32,06
18;191;KAPLAN;GÖLGE;M12;981,5;550,3;972,3;4,36;6,47;62,55;7,089;62,24;7,49;65,2;6,1;155,7;199,8;21,77;58,25;59,2;12,47;22;27,44;38,26
18;191;KAPLAN;GÖLGE;M13;888,9;505,6;1005,2;5,08;7,74;62,39;7,732;65,85;6,54;64,8;6,3;145,3;185,8;25,36;37,15;58,46;13,59;22,53;23,82;34,95
18;191;KAPLAN;GÖLGE;M7;934,6;486,1;980,8;2,82;5,29;62,77;7,392;63,33;6,01;63,6;6,1;176,9;201,4;24,86;38,37;47,32;13,42;21,79;24,16;34,46
18;191;KAPLAN;GÖLGE;M8;962,9;549,6;997,4;3,57;4,58;64,27;6,589;63,98;8;63,5;6,7;157,2;204,6;27,2;41,15;54,72;14,33;22,74;23,73;39,5
18;191;KAPLAN;GÖLGE;M10;934,3;523,3;890,7;4,24;3,69;62,45;6,727;64,4;6,34;63,4;6,8;178,4;158,6;22,82;50,36;52,21;14,81;22,65;21,95;33,69
18;191;KAPLAN;GÖLGE;M5;965,5;558,9;981,9;4,45;3,73;63,84;7,416;62,56;7,52;64,3;7;159,2;199,5;23,6;36,88;58,99;13,6;21,04;25,03;38,37
18;191;KAPLAN;GÖLGE;M11;1000,6;487,4;996,9;3,62;5,86;63,77;7,826;64,02;6,14;65,7;6,6;149,6;179,2;21,03;43,28;51,27;12,57;22,69;22,81;34,66
18;191;KAPLAN;GÖLGE;M16;878,8;515,8;918,4;4,91;8,03;62,42;7,778;62,37;6,2;65,2;6,1;154,1;166,5;29,34;61,17;49,29;13,98;21,57;28,19;37,36
18;191;KAPLAN;GÖLGE;M17;1014,9;574;1005,3;3,85;4,67;65,43;7,882;65,69;5,8;65,3;6,3;142,4;209,7;24,08;55,85;47,24;13,24;21,13;22,21;37,59
18;191;KAPLAN;GÖLGE;M15;891,6;552,3;987,1;5,32;5,46;64,73;6,857;64,93;5,33;66;6,7;188,9;213,7;24,7;46,12;52,56;13,84;22,56;29,53;35,69
18;191;KAPLAN;GÖLGE;M6;995,2;566,8;939,9;3,86;6,37;62,94;7,517;65,48;7,14;63,7;6,8;184,1;154,9;21,82;44,42;46,02;12,73;21,42;23,82;37,4
18;191;KAPLAN;GÖLGE;M9;1017;533,3;918,6;3,31;5,02;65,82;7,652;64,18;7,8;64,3;6,9;180,9;168,7;25,47;64,22;47,88;14,31;22,07;22,57;39,31
18;191;KAPLAN;GÖLGE;M3;928,5;540;957,4;4,33;4,05;63,08;7,148;65,08;5,18;64;7;177;217,1;27,18;58,69;55,13;12,97;22,05;21,96;37,08
18;191;KAPLAN;GÖLGE;M4;908,2;521,6;1018,3;3,9;2,54;62,02;7,049;64,62;5,16;65,4;6,6;158,7;206,9;25,73;35,66;46,56;14,8;21,62;25,81;38,73
18;191;KAPLAN;GÖLGE;M14;1013,5;513,2;954,3;5,47;8,08;64,8;7,175;65,13;5,27;65,2;6,1;156,2;197,6;23,83;63,59;57,57;14,42;21,11;24,47;39,83
18;191;KAPLAN;GÖLGE;M1;893,8;513,1;1001,7;2,96;3,29;63,87;6,748;64,2;7,66;65,3;6,1;167,3;183;28,13;44,36;49,12;12,79;21,41;23,5;31,88
18;191;KAPLAN;GÖLGE;M2;942,1;524,3;907,1;4,11;3,62;65,12;7,161;64,25;7,52;64,4;6,9;166,6;194,2;24,79;42,12;58,61;13,48;22,22;22,09;32,3
18;191;KAPLAN;GÖLGE;M12;980,4;525,3;886,5;3,32;4,41;64,51;7,621;62,05;6,2;65,7;6,8;188,3;162,5;24,53;43,98;50,2;13,91;22,28;26,55;35,45
18;191;KAPLAN;GÖLGE;M13;890,8;575,9;956;5,12;5,64;63,43;6,405;62,74;5,41;63,6;6,9;146,2;215,1;22,63;49,03;47,24;13,47;21,59;28,15;35,66
18;191;KAPLAN;GÖLGE;M7;996,5;548,5;907,8;5,09;6,82;65,52;7,388;65,33;5,54;65,8;6,7;189,9;194,6;28,49;63,59;57,88;12,76;21,12;29,55;31,76
18;191;KAPLAN;GÖLGE;M8;905,5;531,5;941,1;3,4;3,88;62,71;7,849;64,51;7,99;64,1;6,5;153,3;179,3;22,28;60,28;58,7;12,9;21,32;29,24;34,5
18;191;KAPLAN;GÖLGE;M10;972;536,9;874,5;3,8;3,09;63,88;7,108;63,86;7,3;64,6;7;142,7;159;26,71;30,98;54,48;12,71;22,44;22,89;38,37
18;191;KAPLAN;GÖLGE;M5;887,6;534,9;1014,5;5,33;7,28;64,75;6,727;63,96;5,14;65,8;6,7;176,1;215,7;26,34;41,24;52,57;14,27;22,63;27,94;38,64
18;191;KAPLAN;GÖLGE;M11;983,6;569,9;887,6;4,4;5,74;62,64;7,811;63,28;7,9;64,1;6,8;188,3;171,3;25,21;32,26;46,5;14,62;22,14;29,08;31,26
18;191;KAPLAN;GÖLGE;M16;982,9;552;909,6;4,62;5,06;63,37;7,069;62,77;7,07;63,3;6;140,4;195,9;20,87;33,48;57,16;12,88;21,86;22,57;32,54
18;191;KAPLAN;GÖLGE;M17;918,2;549,2;1006,5;4,95;3,46;64,75;6,817;65,94;7,98;63;6,5;149,9;185;25,63;39;49,93;12,52;21,26;25,41;34,96
18;191;KAPLAN;GÖLGE;M15;899,5;562,9;886,8;5,46;7,2;64,68;6,794;65,12;8;66;6,1;177,9;188,7;21,45;63,51;48,81;13,87;22,71;20,04;34,89
18;191;KAPLAN;GÖLGE;M6;1018,7;492,3;988;2,75;7,01;62,64;6,525;62,98;6,97;65,8;6,9;165,4;160,2;29,49;34,75;52,51;13,49;21,79;27,6;35,36
18;191;KAPLAN;GÖLGE;M9;998,9;534,9;945,5;4,17;6,27;62;7,908;63,09;6,61;63,7;6,3;145,1;196,7;23,25;31,58;48,26;13,32;22,92;23,02;36,09
18;191;KAPLAN;GÖLGE;M3;885,6;505,3;971,8;5,14;5,76;65,67;7,278;63,51;6;64,6;7;153,5;182,1;22,38;44,45;47,55;13,3;22,98;27,8;35,67
18;191;KAPLAN;GÖLGE;M4;920,2;513,4;934,3;2,64;6,96;66,8;7,819;64,28;7,86;63;6,3;161,3;216,2;21,6;38,1;52,29;13,94;22,11;21,41;37,81
18;191;KAPLAN;GÖLGE;M14;1000;588,5;1001,3;5,42;4,11;65,69;6,935;63,14;5,35;65,6;6,4;182,6;188,2;26,91;30,05;58,89;14,72;21,4;27,54;31,12
18;191;KAPLAN;GÖLGE;M1;926;519,8;1016,7;3,4;7,58;63,82;7,218;62,96;7,25;65,6;6,4;173,1;187;28,9;43,1;51,53;13,04;21,28;21,06;39,73
18;191;KAPLAN;GÖLGE;M2;1004,9;538,9;967,2;5,49;4,89;65,09;7,787;64,86;6,99;63,9;6;161,4;200,9;24,65;59,59;59,16;12,71;22,06;21,77;33,23
18;191;KAPLAN;GÖLGE;M12;940,2;524,5;888;5,13;3,81;63,01;7,308;63,77;6,18;63,8;6,9;141,5;211,8;26,12;64,22;56,21;12,33;21,73;30;32,66
18;191;KAPLAN;GÖLGE;M13;927,4;501,1;1010;4,05;7,86;64,39;6,516;62,07;7,08;63,4;6,1;152,1;192,9;21,24;51,67;52,69;12,8;21,22;28,21;39,5
18;191;KAPLAN;GÖLGE;M7;939,8;529,8;961,2;3,43;2,75;62,17;7,447;63,73;6,79;64,3;6,3;172,9;215,6;29,16;52,39;58,08;12,21;22,72;24,99;37,98
18;191;KAPLAN;GÖLGE;M8;939,1;553,6;957,2;3,59;3,05;63,84;6,742;63,7;5,96;64,4;7;189,4;153,7;20,54;48,27;52,79;13,71;21,42;26,31;34,46
18;191;KAPLAN;GÖLGE;M10;985,2;585,1;891,4;3,1;6,91;65,6;7,814;65,63;7,95;65,4;6;153,1;153,9;25,32;63,53;51,57;12,13;21,04;22,11;38,32
